name,brand,price,old_price,discount,rating,review count
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",Vitron,"KSh 18,699","KSh 28,599",35%,3.9 out of 5,2541
"Vision Plus 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)",Vision Plus,"KSh 9,599","KSh 15,995",40%,3.9 out of 5,902
Hisense 94 Liters Single Door Fridge REF094DR (2YRs WRTY),Hisense,"KSh 16,499","KSh 22,999",28%,4.4 out of 5,182
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Sage Green (2YRS WRTY)",XIAOMI,"KSh 12,299","KSh 15,000",18%,4.3 out of 5,94
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Starry Blue (2YRS WRTY)",XIAOMI,"KSh 12,699","KSh 15,000",15%,4.4 out of 5,118
"Amtec 32R1S, 32"" Inch Smart Android TV 1GB DDR,8GB ROM,4-CORE LED TV (1YR WRTY)",Amtec,"KSh 11,099","KSh 19,000",42%,3.9 out of 5,269
Hisense 7.5Kg Twin Tub Top Load Washing Machine - White (2YRs WRTY),Hisense,"KSh 16,999","KSh 23,999",29%,4.4 out of 5,141
"Tecno Spark 30c, 6.67'' HD+, UP To 128GB ROM+ 4GB RAM +(4GB RAM Extended)  (Dual Sim) 50MP, 5000 MAh - Orbit Black (1YR WRTY)",Tecno,"KSh 13,579","KSh 14,999",9%,4.1 out of 5,40
"Poco C75, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Black (2YRs WRTY)",Poco,"KSh 13,199","KSh 15,000",12%,4.1 out of 5,33
"Roch RFR-160DT-B Double Door Fridge, 126L - Silver (1YR WRTY)",Roch,"KSh 22,999","KSh 31,000",26%,4.2 out of 5,32
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V4 2), Black (1YR WRTY)",Smart Pro,"KSh 7,499","KSh 11,999",38%,4.4 out of 5,10
"Smart Pro SFR-210-DT-I Double Door Refrigerator, 170L - Silver (1YR WRTY)",Smart Pro,"KSh 29,499","KSh 38,600",24%,4.4 out of 5,11
"Oppo A3X, 6.67"", 64GB + 4GB RAM, 4G LTE, 45W Flash Charge (Dual SIM) 5,100 MAh - Nebula Red",Oppo,"KSh 13,799","KSh 15,999",14%,4.5 out of 5,8
"Roch RFR-210-DT-I Double Door Refrigerator, 170L - Silver, (1YR WRTY)",Roch,"KSh 29,999","KSh 47,999",38%,4.3 out of 5,96
Art Mural Cat Print Throw Pillow Case/Cover - 45x45CM,Generic,KSh 133,KSh 200,34%,5 out of 5,2
5Pack Dish Home Kitchen Thickening Absorbent Scouring Cloth,Generic,KSh 261,KSh 550,53%,3.8 out of 5,13
Night Light Humidifier Spray Diffuser Home Decor - White,Generic,KSh 922,"KSh 1,900",51%,4.5 out of 5,10
"Smart Pro SCF-180-G Chest Freezer, 140L - Silver (1YR WRTY)",Smart Pro,"KSh 26,699","KSh 33,900",21%,5 out of 5,1
HD 40X60 Telescope With Phone Holder And Tripod,Generic,KSh 845,"KSh 1,778",52%,4 out of 5,7
Women's Yoga Pants High Waist Elastic Tight Fitness Trousers - Black,Generic,KSh 299,KSh 618,52%,No rating,No reviews
Cat Print Throw Pillow Case/Cover - 45x45CM,Generic,KSh 150,KSh 200,25%,5 out of 5,3
Afro Wooden Hair Comb Hair Styling Tools For Both Home And Professional,Generic,KSh 190,KSh 769,75%,4.3 out of 5,4
Exfoliate And Exfoliate Face Towel - Blue,Generic,KSh 215,KSh 382,44%,5 out of 5,5
Soft Elastic Comfortable Wireless Music Headband--Grey,Generic,KSh 386,KSh 796,52%,5 out of 5,3
Fashion Sexy Yoga Pants Fitness Leggings Gym Yoga Tight Sports Pants - Coffee,Generic,KSh 359,KSh 741,52%,4.7 out of 5,3
Fashion Women's High-Stretch Fitness Pants Legging Gym Sports Yoga Tight - Black,Generic,KSh 378,KSh 741,49%,4.5 out of 5,2
540 Degree Round Magnetic Charging Cable Trio-Black,Generic,KSh 376,KSh 752,50%,3.5 out of 5,4
Roch RECK-531BL - 50x55CM 3 Gas Burners + 1 Hotplate Cooker - Black (1YR WRTY),Roch,"KSh 22,399","KSh 37,500",40%,5 out of 5,1
Sliver Self-defense Outdoor Keyholder Gadgets Tools For Woman,Generic,KSh 98,KSh 192,49%,4 out of 5,1
Fashion Creative Cardinal Heart Pendant Necklace For Men And Women,Generic,KSh 157,KSh 324,52%,4.3 out of 5,3
Outdoor Self-Defense Equipment Keyholder For Woman Green,Generic,KSh 87,KSh 180,52%,4.6 out of 5,5
Dish Cloth Household Kitchen Bowl Absorbent Scouring Cloth,Generic,KSh 139,KSh 286,51%,3 out of 5,2
Women's Yoga Pants High Waist Elastic Tight Fitness Trousers - Navy Blue,Generic,KSh 315,KSh 618,49%,No rating,No reviews
